rowname	enterotype
922	Firmicutes
923	Prevotella
924	Firmicutes
925	Prevotella
926	Prevotella
927	Prevotella
928	Prevotella
929	Prevotella
930	Firmicutes
931	Firmicutes
932	Firmicutes
933	Prevotella
934	Prevotella
935	Prevotella
936	Firmicutes
937	Firmicutes
938	Firmicutes
939	Prevotella
940	Prevotella
941	Prevotella
942	Firmicutes
943	Firmicutes
944	Firmicutes
945	Firmicutes
946	Firmicutes
947	Firmicutes
948	Firmicutes
949	Firmicutes
950	Firmicutes
951	Prevotella
952	Prevotella
953	Prevotella
954	Firmicutes
955	Firmicutes
956	Firmicutes
957	Firmicutes
958	Firmicutes
959	Firmicutes
960	Firmicutes
961	Firmicutes
962	Bact_Phoc
963	Firmicutes
964	Firmicutes
965	Firmicutes
966	Prevotella
967	Prevotella
968	Prevotella
969	Firmicutes
970	Prevotella
971	Firmicutes
972	Prevotella
973	Prevotella
974	Prevotella
975	Firmicutes
976	Firmicutes
977	Firmicutes
978	Firmicutes
979	Firmicutes
980	Prevotella
981	Prevotella
982	Prevotella
983	Firmicutes
984	Firmicutes
985	Firmicutes
986	Firmicutes
987	Firmicutes
988	Firmicutes
989	Firmicutes
990	Firmicutes
991	Firmicutes
992	Firmicutes
993	Firmicutes
994	Firmicutes
995	Firmicutes
996	Prevotella
997	Firmicutes
998	Firmicutes
999	Firmicutes
1000	Firmicutes
1001	Prevotella
1002	Firmicutes
1003	Firmicutes
1004	Firmicutes
1005	Firmicutes
1006	Firmicutes
1007	Firmicutes
1008	Prevotella
1009	Prevotella
1010	Prevotella
1011	Firmicutes
1012	Firmicutes
1013	Prevotella
1014	Firmicutes
1015	Firmicutes
1016	Firmicutes
1017	Prevotella
1018	Prevotella
1019	Prevotella
1020	Firmicutes
1021	Prevotella
1022	Firmicutes
1023	Firmicutes
1024	Firmicutes
1025	Firmicutes
1026	Prevotella
1027	Firmicutes
1028	Firmicutes
1029	Firmicutes
1030	Firmicutes
1031	Firmicutes
1032	Firmicutes
1033	Firmicutes
1034	Firmicutes
1035	Firmicutes
1036	Firmicutes
1037	Firmicutes
1038	Firmicutes
1039	Firmicutes
1040	Firmicutes
1041	Prevotella
1042	Firmicutes
1043	Firmicutes
1044	Bact_Phoc
1045	Firmicutes
1046	Firmicutes
1047	Firmicutes
1048	Prevotella
1049	Firmicutes
1050	Firmicutes
1051	Firmicutes
1052	Firmicutes
1053	Firmicutes
1054	Firmicutes
1055	Firmicutes
1056	Firmicutes
1057	Firmicutes
1058	Firmicutes
1059	Prevotella
1060	Firmicutes
1061	Firmicutes
1062	Firmicutes
1063	Firmicutes
1064	Firmicutes
1065	Firmicutes
1066	Firmicutes
1067	Firmicutes
1068	Prevotella
1069	Firmicutes
1070	Firmicutes
1071	Firmicutes
1072	Firmicutes
1073	Firmicutes
1074	Firmicutes
1075	Firmicutes
1076	Firmicutes
1077	Firmicutes
1078	Firmicutes
1079	Firmicutes
1080	Firmicutes
1081	Firmicutes
1082	Firmicutes
1083	Prevotella
1084	Firmicutes
1085	Firmicutes
1086	Prevotella
1087	Firmicutes
1088	Prevotella
1089	Firmicutes
1090	Firmicutes
1091	Firmicutes
1092	Prevotella
1093	Firmicutes
1094	Firmicutes
1095	Prevotella
1096	Firmicutes
1097	Firmicutes
1098	Firmicutes
1099	Firmicutes
1100	Firmicutes
1101	Firmicutes
1102	Firmicutes
1103	Prevotella
1104	Firmicutes
1105	Firmicutes
1106	Prevotella
1107	Bact_Phoc
1108	Firmicutes
1109	Prevotella
1110	Prevotella
1111	Firmicutes
1112	Prevotella
1113	Firmicutes
1114	Firmicutes
1115	Firmicutes
1116	Firmicutes
1117	Firmicutes
1118	Prevotella
1119	Firmicutes
1120	Prevotella
1121	Firmicutes
1122	Prevotella
1123	Firmicutes
1124	Prevotella
1125	Bact_Phoc
1126	Firmicutes
1127	Firmicutes
1128	Firmicutes
1129	Firmicutes
1130	Firmicutes
1131	Firmicutes
1132	Bact_Phoc
1133	Firmicutes
1134	Firmicutes
1135	Prevotella
1136	Firmicutes
1137	Firmicutes
1138	Firmicutes
1139	Firmicutes
1140	Firmicutes
1141	Prevotella
1142	Prevotella
1143	Firmicutes
1144	Firmicutes
1145	Firmicutes
1146	Firmicutes
1147	Firmicutes
1148	Firmicutes
1149	Firmicutes
1150	Firmicutes
1151	Firmicutes
1152	Prevotella
1153	Bact_Phoc
1154	Bact_Phoc
1155	Prevotella
1156	Prevotella
1157	Prevotella
1158	Prevotella
1159	Prevotella
1160	Prevotella
1161	Prevotella
1162	Prevotella
1163	Prevotella
1164	Firmicutes
1165	Bact_Phoc
1166	Bact_Phoc
1167	Bact_Phoc
1168	Firmicutes
1169	Firmicutes
1170	Bact_Phoc
1171	Bact_Phoc
1172	Firmicutes
1173	Firmicutes
1174	Firmicutes
1175	Firmicutes
1176	Prevotella
1177	Prevotella
1178	Firmicutes
1179	Bact_Phoc
1180	Firmicutes
1181	Bact_Phoc
1182	Prevotella
1183	Prevotella
1184	Prevotella
1185	Firmicutes
1186	Firmicutes
1187	Prevotella
1188	Firmicutes
1189	Firmicutes
1190	Bact_Phoc
1191	Firmicutes
1192	Bact_Phoc
1193	Firmicutes
1194	Firmicutes
1195	Firmicutes
1196	Firmicutes
1197	Firmicutes
1198	Firmicutes
1199	Firmicutes
1200	Firmicutes
1201	Firmicutes
1202	Firmicutes
1203	Prevotella
1204	Firmicutes
1205	Firmicutes
1206	Firmicutes
1207	Firmicutes
1208	Bact_Phoc
1209	Bact_Phoc
1210	Firmicutes
1211	Firmicutes
1212	Prevotella
1213	Prevotella
1214	Bact_Phoc
1215	Firmicutes
1216	Firmicutes
1217	Firmicutes
1218	Firmicutes
1219	Firmicutes
1220	Prevotella
1221	Firmicutes
1222	Firmicutes
1223	Firmicutes
1224	Firmicutes
1225	Firmicutes
1226	Prevotella
1227	Prevotella
1228	Firmicutes
1229	Prevotella
1230	Prevotella
1231	Firmicutes
1232	Bact_Phoc
1233	Prevotella
1234	Firmicutes
1235	Firmicutes
1236	Firmicutes
1237	Firmicutes
1238	Prevotella
1239	Prevotella
1240	Bact_Phoc
1241	Prevotella
1242	Firmicutes
1243	Firmicutes
1244	Firmicutes
1245	Bact_Phoc
1246	Firmicutes
1247	Firmicutes
1248	Firmicutes
1249	Firmicutes
1250	Bact_Phoc
1251	Bact_Phoc
1252	Firmicutes
1253	Firmicutes
1254	Bact_Phoc
1255	Bact_Phoc
1256	Firmicutes
1257	Bact_Phoc
1258	Prevotella
1259	Prevotella
1260	Prevotella
1261	Prevotella
1262	Firmicutes
1263	Firmicutes
1264	Firmicutes
1265	Firmicutes
1266	Prevotella
1267	Firmicutes
1268	Prevotella
1269	Bact_Phoc
1270	Prevotella
1271	Prevotella
1272	Firmicutes
1273	Firmicutes
1274	Bact_Phoc
1275	Prevotella
1276	Firmicutes
1277	Firmicutes
1278	Firmicutes
1279	Firmicutes
1280	Firmicutes
1281	Firmicutes
1282	Firmicutes
1283	Prevotella
1284	Firmicutes
1285	Prevotella
1286	Prevotella
1287	Firmicutes
1288	Bact_Phoc
1289	Firmicutes
1290	Firmicutes
1291	Firmicutes
1292	Firmicutes
1293	Firmicutes
1294	Firmicutes
1295	Prevotella
1296	Prevotella
1297	Firmicutes
1298	Prevotella
1299	Firmicutes
1300	Prevotella
1301	Bact_Phoc
1302	Firmicutes
1303	Bact_Phoc
1304	Firmicutes
1305	Prevotella
1306	Firmicutes
1307	Firmicutes
1308	Prevotella
1309	Prevotella
1310	Firmicutes
1311	Firmicutes
1312	Prevotella
1313	Firmicutes
1314	Firmicutes
1315	Firmicutes
1316	Prevotella
1317	Firmicutes
1318	Firmicutes
1319	Firmicutes
1320	Firmicutes
1321	Firmicutes
1322	Firmicutes
1323	Firmicutes
1324	Firmicutes
1325	Prevotella
1326	Firmicutes
1327	Firmicutes
1328	Firmicutes
1329	Prevotella
1330	Prevotella
1331	Prevotella
1332	Firmicutes
1333	Firmicutes
1334	Bact_Phoc
1335	Bact_Phoc
1336	Bact_Phoc
1337	Prevotella
1338	Firmicutes
1339	Prevotella
1340	Prevotella
1341	Firmicutes
1342	Firmicutes
1343	Firmicutes
1344	Prevotella
1345	Prevotella
1346	Prevotella
1347	Prevotella
1348	Firmicutes
1349	Prevotella
1350	Prevotella
1351	Prevotella
1352	Bact_Phoc
1353	Bact_Phoc
1354	Firmicutes
1355	Bact_Phoc
1356	Firmicutes
1357	Firmicutes
1358	Firmicutes
1359	Firmicutes
1360	Firmicutes
1361	Firmicutes
1362	Firmicutes
1363	Firmicutes
1364	Firmicutes
1365	Bact_Phoc
1366	Firmicutes
1367	Firmicutes
1368	Bact_Phoc
1369	Firmicutes
1370	Firmicutes
1371	Firmicutes
1372	Firmicutes
1373	Prevotella
1374	Prevotella
1375	Prevotella
1376	Prevotella
1377	Firmicutes
1378	Firmicutes
1379	Firmicutes
1380	Firmicutes
1381	Firmicutes
1382	Bact_Phoc
1383	Firmicutes
1384	Firmicutes
1385	Firmicutes
1386	Firmicutes
1387	Prevotella
1388	Prevotella
1389	Prevotella
1390	Prevotella
1391	Firmicutes
1392	Prevotella
1393	Prevotella
1394	Prevotella
1395	Bact_Phoc
1396	Firmicutes
1397	Bact_Phoc
1398	Bact_Phoc
1399	Firmicutes
1400	Bact_Phoc
1401	Bact_Phoc
1402	Bact_Phoc
1403	Bact_Phoc
1404	Bact_Phoc
1405	Firmicutes
1406	Bact_Phoc
1407	Firmicutes
1408	Firmicutes
1409	Firmicutes
1410	Firmicutes
1411	Firmicutes
1412	Firmicutes
1413	Firmicutes
1414	Firmicutes
1415	Firmicutes
1416	Prevotella
1417	Firmicutes
1418	Firmicutes
1419	Firmicutes
1420	Firmicutes
1421	Firmicutes
1422	Firmicutes
1423	Prevotella
1424	Firmicutes
1425	Firmicutes
1426	Firmicutes
1427	Firmicutes
1428	Bact_Phoc
1429	Bact_Phoc
1430	Bact_Phoc
1431	Bact_Phoc
1432	Firmicutes
1433	Firmicutes
1434	Firmicutes
1435	Firmicutes
1436	Bact_Phoc
1437	Bact_Phoc
1438	Bact_Phoc
1439	Bact_Phoc
1440	Bact_Phoc
1441	Bact_Phoc
1442	Bact_Phoc
1443	Firmicutes
1444	Firmicutes
1445	Prevotella
1446	Prevotella
1447	Prevotella
1448	Firmicutes
1449	Firmicutes
1450	Firmicutes
1451	Firmicutes
1452	Firmicutes
1453	Firmicutes
1454	Firmicutes
1455	Prevotella
1456	Firmicutes
1457	Firmicutes
1458	Bact_Phoc
1459	Bact_Phoc
1460	Bact_Phoc
1461	Bact_Phoc
1462	Bact_Phoc
1463	Firmicutes
1464	Firmicutes
1465	Bact_Phoc
1466	Firmicutes
1467	Firmicutes
1468	Prevotella
1469	Prevotella
1470	Prevotella
1471	Firmicutes
1472	Firmicutes
1473	Firmicutes
1474	Firmicutes
1475	Firmicutes
1476	Bact_Phoc
1477	Bact_Phoc
1478	Firmicutes
1479	Firmicutes
1480	Firmicutes
1481	Firmicutes
1482	Firmicutes
1483	Firmicutes
1484	Firmicutes
1485	Prevotella
