mOTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
1316	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium	Microbacterium sp001262495
1317	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Demequinaceae	Demequina	Demequina mangrovi
1318	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Demequinaceae	Demequina	Demequina gelatinilytica/subtropica
1319	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Demequinaceae	Demequina	Demequina iriomotensis
1320	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Demequinaceae	Demequina	Demequina phytophila
1321	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Demequinaceae	Demequina	Demequina silvatica
1322	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Demequinaceae	Demequina	Demequina rhizosphaerae
1323	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Demequinaceae	Demequina	Demequina maris
1324	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Demequinaceae	Demequina	Demequina soli
1325	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Erwinia	Erwinia tracheiphila
1326	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Oenococcus	Oenococcus kitaharae
1327	Bacteria	Firmicutes_A	Clostridia	Acetivibrionales	Acetivibrionaceae	Acetivibrio	Acetivibrio clariflavus
1328	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Arthrobacter_G	Arthrobacter_G cupressi
1329	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Arthrobacter_G	Arthrobacter_G sp001766675
1330	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus_C	Paenibacillus_C catalpae
1331	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus_C	Paenibacillus_C sp000023585
1332	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella koreensis
1333	Bacteria	Spirochaetota	Brachyspirae	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira hyodysenteriae
1334	Bacteria	Spirochaetota	Brachyspirae	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira hampsonii
1335	Bacteria	Spirochaetota	Brachyspirae	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira hampsonii
1336	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas aerolata
1337	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp001424005/sp001422045
1338	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp001421745/sp900115295
