rowname	enterotype
694	Firmicutes
695	Firmicutes
696	Firmicutes
697	Firmicutes
698	Firmicutes
699	Firmicutes
700	Prevotella
701	Prevotella
702	Prevotella
703	Firmicutes
704	Prevotella
705	Firmicutes
706	Prevotella
707	Firmicutes
708	Prevotella
709	Prevotella
710	Firmicutes
711	Bact_Phoc
712	Firmicutes
713	Prevotella
714	Prevotella
715	Prevotella
716	Firmicutes
717	Prevotella
718	Prevotella
719	Prevotella
720	Firmicutes
721	Prevotella
722	Firmicutes
723	Prevotella
724	Prevotella
725	Firmicutes
726	Prevotella
727	Firmicutes
728	Prevotella
729	Firmicutes
730	Prevotella
731	Firmicutes
732	Bact_Phoc
733	Firmicutes
734	Bact_Phoc
735	Prevotella
736	Firmicutes
737	Bact_Phoc
738	Prevotella
739	Firmicutes
740	Prevotella
741	Firmicutes
742	Bact_Phoc
743	Firmicutes
744	Firmicutes
745	Prevotella
746	Prevotella
747	Firmicutes
748	Firmicutes
749	Prevotella
750	Firmicutes
751	Firmicutes
752	Firmicutes
753	Bact_Phoc
754	Prevotella
755	Prevotella
756	Firmicutes
757	Prevotella
758	Prevotella
759	Firmicutes
760	Firmicutes
761	Prevotella
762	Prevotella
763	Firmicutes
764	Bact_Phoc
765	Prevotella
766	Prevotella
767	Bact_Phoc
768	Bact_Phoc
769	Prevotella
770	Firmicutes
771	Prevotella
772	Prevotella
773	Bact_Phoc
774	Prevotella
775	Firmicutes
776	Prevotella
777	Prevotella
778	Prevotella
779	Prevotella
780	Bact_Phoc
781	Prevotella
782	Prevotella
783	Firmicutes
784	Firmicutes
785	Bact_Phoc
786	Bact_Phoc
787	Firmicutes
788	Firmicutes
789	Prevotella
790	Prevotella
791	Firmicutes
792	Bact_Phoc
794	Bact_Phoc
795	Prevotella
796	Bact_Phoc
797	Bact_Phoc
798	Prevotella
799	Bact_Phoc
800	Prevotella
801	Prevotella
802	Prevotella
803	Firmicutes
804	Bact_Phoc
805	Firmicutes
806	Bact_Phoc
807	Prevotella
808	Prevotella
809	Firmicutes
810	Prevotella
811	Prevotella
812	Prevotella
813	Prevotella
814	Firmicutes
815	Prevotella
816	Prevotella
817	Prevotella
818	Bact_Phoc
819	Firmicutes
820	Prevotella
821	Prevotella
822	Prevotella
823	Firmicutes
824	Firmicutes
825	Prevotella
826	Prevotella
827	Bact_Phoc
829	Prevotella
830	Bact_Phoc
831	Prevotella
832	Prevotella
833	Prevotella
834	Prevotella
835	Bact_Phoc
836	Prevotella
837	Firmicutes
838	Prevotella
839	Prevotella
840	Bact_Phoc
841	Bact_Phoc
842	Firmicutes
843	Firmicutes
844	Bact_Phoc
845	Firmicutes
846	Firmicutes
847	Prevotella
848	Bact_Phoc
849	Bact_Phoc
850	Prevotella
851	Prevotella
852	Bact_Phoc
853	Prevotella
854	Firmicutes
855	Firmicutes
856	Firmicutes
857	Prevotella
858	Prevotella
859	Prevotella
860	Prevotella
861	Firmicutes
862	Bact_Phoc
863	Bact_Phoc
864	Bact_Phoc
865	Bact_Phoc
866	Bact_Phoc
867	Firmicutes
868	Prevotella
869	Bact_Phoc
870	Bact_Phoc
871	Prevotella
872	Prevotella
873	Firmicutes
874	Firmicutes
875	Prevotella
876	Prevotella
877	Bact_Phoc
878	Prevotella
879	Bact_Phoc
880	Firmicutes
881	Prevotella
882	Bact_Phoc
883	Prevotella
884	Prevotella
885	Bact_Phoc
886	Bact_Phoc
887	Bact_Phoc
888	Firmicutes
889	Prevotella
890	Firmicutes
891	Bact_Phoc
892	Firmicutes
893	Prevotella
894	Firmicutes
895	Prevotella
896	Prevotella
897	Prevotella
898	Prevotella
899	Prevotella
900	Prevotella
901	Bact_Phoc
902	Prevotella
903	Firmicutes
904	Prevotella
905	Prevotella
906	Bact_Phoc
907	Prevotella
908	Bact_Phoc
909	Prevotella
910	Prevotella
911	Firmicutes
912	Firmicutes
913	Prevotella
914	Prevotella
915	Prevotella
916	Bact_Phoc
917	Prevotella
918	Firmicutes
920	Bact_Phoc
921	Prevotella
922	Prevotella
923	Prevotella
924	Prevotella
925	Prevotella
926	Prevotella
927	Bact_Phoc
928	Prevotella
929	Bact_Phoc
930	Prevotella
931	Prevotella
932	Prevotella
933	Firmicutes
934	Firmicutes
935	Firmicutes
936	Prevotella
937	Prevotella
938	Firmicutes
939	Bact_Phoc
940	Firmicutes
941	Firmicutes
942	Prevotella
943	Firmicutes
944	Bact_Phoc
945	Prevotella
946	Prevotella
947	Firmicutes
948	Firmicutes
949	Prevotella
950	Bact_Phoc
951	Bact_Phoc
952	Bact_Phoc
953	Firmicutes
954	Prevotella
955	Firmicutes
956	Firmicutes
957	Prevotella
958	Prevotella
959	Bact_Phoc
960	Firmicutes
961	Prevotella
962	Firmicutes
963	Bact_Phoc
964	Prevotella
965	Bact_Phoc
966	Firmicutes
967	Prevotella
968	Firmicutes
969	Bact_Phoc
970	Prevotella
971	Prevotella
972	Firmicutes
973	Prevotella
974	Prevotella
975	Prevotella
976	Prevotella
977	Bact_Phoc
978	Bact_Phoc
979	Bact_Phoc
980	Firmicutes
981	Firmicutes
982	Prevotella
983	Prevotella
984	Prevotella
985	Prevotella
986	Firmicutes
987	Firmicutes
988	Prevotella
989	Firmicutes
990	Prevotella
991	Prevotella
992	Firmicutes
993	Prevotella
994	Prevotella
995	Firmicutes
996	Prevotella
997	Prevotella
998	Prevotella
999	Bact_Phoc
1000	Firmicutes
1001	Firmicutes
1002	Firmicutes
1003	Firmicutes
1004	Firmicutes
1005	Prevotella
1006	Bact_Phoc
1007	Bact_Phoc
1008	Prevotella
1009	Prevotella
1010	Prevotella
1011	Firmicutes
1012	Firmicutes
1013	Prevotella
1014	Prevotella
1015	Bact_Phoc
1016	Prevotella
1017	Prevotella
1018	Bact_Phoc
1019	Prevotella
1020	Firmicutes
1021	Prevotella
1022	Prevotella
1023	Prevotella
1024	Prevotella
1025	Bact_Phoc
1026	Firmicutes
1027	Firmicutes
1028	Bact_Phoc
1029	Firmicutes
1030	Prevotella
1031	Prevotella
1032	Prevotella
1033	Prevotella
1034	Prevotella
1035	Firmicutes
1036	Prevotella
1037	Prevotella
1038	Firmicutes
1039	Prevotella
1040	Prevotella
1041	Bact_Phoc
1042	Firmicutes
1043	Bact_Phoc
1044	Bact_Phoc
1045	Bact_Phoc
1046	Bact_Phoc
1047	Bact_Phoc
1048	Prevotella
1049	Bact_Phoc
1050	Prevotella
1051	Prevotella
1052	Prevotella
1053	Bact_Phoc
1054	Bact_Phoc
1055	Prevotella
1056	Firmicutes
1057	Prevotella
1058	Bact_Phoc
1059	Prevotella
1060	Prevotella
1061	Prevotella
1062	Firmicutes
1063	Prevotella
1064	Firmicutes
1065	Bact_Phoc
1066	Bact_Phoc
1067	Firmicutes
1068	Prevotella
1069	Bact_Phoc
1070	Prevotella
1071	Prevotella
1072	Firmicutes
1073	Bact_Phoc
1074	Bact_Phoc
1075	Firmicutes
1076	Bact_Phoc
1077	Prevotella
1078	Firmicutes
1079	Bact_Phoc
1080	Prevotella
1081	Bact_Phoc
1082	Bact_Phoc
1083	Prevotella
1084	Prevotella
1085	Firmicutes
1086	Bact_Phoc
1087	Prevotella
1088	Prevotella
1089	Bact_Phoc
1090	Prevotella
1091	Firmicutes
1092	Firmicutes
1093	Prevotella
1094	Prevotella
1095	Bact_Phoc
1096	Prevotella
1097	Prevotella
1098	Prevotella
1099	Bact_Phoc
1100	Firmicutes
1101	Firmicutes
1102	Bact_Phoc
1103	Firmicutes
1104	Bact_Phoc
1105	Prevotella
1106	Prevotella
1107	Prevotella
1108	Bact_Phoc
1109	Firmicutes
1110	Prevotella
1111	Bact_Phoc
1112	Prevotella
1113	Prevotella
1114	Bact_Phoc
1115	Prevotella
1116	Prevotella
1117	Firmicutes
1118	Prevotella
1119	Bact_Phoc
1120	Prevotella
1121	Firmicutes
1122	Prevotella
1123	Prevotella
1124	Firmicutes
1125	Prevotella
1126	Prevotella
1127	Bact_Phoc
1128	Bact_Phoc
1129	Firmicutes
1130	Bact_Phoc
1131	Prevotella
1132	Prevotella
1133	Firmicutes
1134	Prevotella
1135	Prevotella
1136	Firmicutes
1137	Bact_Phoc
1138	Prevotella
1139	Firmicutes
1140	Prevotella
1141	Prevotella
1142	Prevotella
1143	Firmicutes
1144	Prevotella
1145	Prevotella
1146	Firmicutes
1147	Bact_Phoc
1148	Bact_Phoc
1149	Firmicutes
1150	Prevotella
1151	Prevotella
1152	Firmicutes
1153	Firmicutes
1154	Firmicutes
1155	Bact_Phoc
1156	Prevotella
1157	Prevotella
1158	Bact_Phoc
1159	Prevotella
1160	Bact_Phoc
1161	Prevotella
1162	Prevotella
1163	Prevotella
1164	Bact_Phoc
1165	Bact_Phoc
1166	Firmicutes
1167	Firmicutes
1168	Prevotella
1169	Firmicutes
1170	Firmicutes
1171	Prevotella
1172	Prevotella
1173	Prevotella
1174	Bact_Phoc
1175	Prevotella
1176	Bact_Phoc
1177	Bact_Phoc
1178	Prevotella
1179	Prevotella
1180	Firmicutes
1181	Bact_Phoc
1182	Prevotella
1183	Firmicutes
1184	Prevotella
1185	Bact_Phoc
1186	Firmicutes
1187	Bact_Phoc
1188	Bact_Phoc
1189	Firmicutes
1190	Prevotella
1191	Firmicutes
1192	Prevotella
1193	Prevotella
1194	Prevotella
1195	Bact_Phoc
1196	Prevotella
1197	Prevotella
1198	Firmicutes
1199	Firmicutes
1200	Firmicutes
1201	Prevotella
1202	Prevotella
1203	Firmicutes
1204	Bact_Phoc
1205	Bact_Phoc
1206	Prevotella
1207	Prevotella
1208	Prevotella
1209	Prevotella
1210	Firmicutes
1211	Prevotella
1212	Bact_Phoc
1213	Bact_Phoc
1214	Bact_Phoc
1215	Firmicutes
1216	Bact_Phoc
1217	Bact_Phoc
1218	Firmicutes
1219	Bact_Phoc
1220	Prevotella
1221	Bact_Phoc
1222	Prevotella
1223	Firmicutes
1224	Bact_Phoc
1225	Bact_Phoc
1226	Bact_Phoc
1227	Bact_Phoc
1228	Prevotella
1229	Bact_Phoc
1230	Prevotella
1231	Prevotella
1232	Firmicutes
1233	Firmicutes
1234	Prevotella
1235	Firmicutes
1236	Bact_Phoc
1237	Prevotella
1238	Prevotella
1239	Bact_Phoc
1240	Prevotella
1241	Bact_Phoc
1242	Prevotella
1243	Firmicutes
1244	Prevotella
1245	Prevotella
1246	Firmicutes
1247	Prevotella
1248	Prevotella
1249	Bact_Phoc
1250	Firmicutes
1251	Bact_Phoc
1252	Bact_Phoc
1253	Prevotella
1254	Bact_Phoc
1255	Firmicutes
1256	Prevotella
1257	Bact_Phoc
1258	Prevotella
1259	Prevotella
1260	Prevotella
1261	Firmicutes
1262	Bact_Phoc
1263	Firmicutes
1264	Bact_Phoc
1265	Bact_Phoc
1266	Prevotella
1267	Bact_Phoc
1268	Prevotella
1269	Firmicutes
1270	Prevotella
1271	Firmicutes
1272	Firmicutes
1273	Prevotella
1275	Firmicutes
1276	Prevotella
1277	Bact_Phoc
1278	Bact_Phoc
1279	Prevotella
1280	Bact_Phoc
1281	Prevotella
1282	Prevotella
1283	Bact_Phoc
1284	Bact_Phoc
1285	Prevotella
1286	Prevotella
1287	Bact_Phoc
1288	Bact_Phoc
1289	Firmicutes
1290	Prevotella
1291	Firmicutes
1292	Prevotella
1293	Firmicutes
1294	Firmicutes
1295	Prevotella
1296	Bact_Phoc
1297	Firmicutes
1298	Firmicutes
1299	Prevotella
1300	Bact_Phoc
1301	Prevotella
1302	Prevotella
1303	Prevotella
1304	Prevotella
1305	Prevotella
1306	Prevotella
1307	Bact_Phoc
1308	Firmicutes
1309	Bact_Phoc
1310	Prevotella
1311	Prevotella
1312	Firmicutes
1313	Prevotella
1314	Firmicutes
1315	Prevotella
1316	Prevotella
1317	Firmicutes
1318	Prevotella
1319	Firmicutes
1320	Bact_Phoc
1321	Firmicutes
1322	Firmicutes
1323	Prevotella
1324	Firmicutes
1325	Prevotella
1326	Firmicutes
1327	Prevotella
1328	Prevotella
1329	Bact_Phoc
1330	Prevotella
1331	Firmicutes
1332	Prevotella
1333	Firmicutes
1334	Firmicutes
1335	Firmicutes
1336	Firmicutes
1337	Firmicutes
1338	Firmicutes
1339	Firmicutes
1340	Prevotella
1341	Firmicutes
1342	Firmicutes
1343	Firmicutes
1344	Prevotella
1345	Firmicutes
1346	Prevotella
1347	Bact_Phoc
1348	Bact_Phoc
1349	Prevotella
1350	Prevotella
1351	Firmicutes
1352	Firmicutes
1353	Prevotella
1354	Firmicutes
1355	Bact_Phoc
1356	Prevotella
1357	Prevotella
1358	Bact_Phoc
1359	Firmicutes
1360	Bact_Phoc
1361	Firmicutes
1362	Firmicutes
1363	Firmicutes
1364	Bact_Phoc
1365	Firmicutes
1366	Firmicutes
1367	Prevotella
1368	Firmicutes
1369	Bact_Phoc
1370	Bact_Phoc
1371	Bact_Phoc
1372	Prevotella
1373	Firmicutes
1374	Firmicutes
1375	Firmicutes
1376	Bact_Phoc
1377	Bact_Phoc
1378	Prevotella
1379	Firmicutes
1380	Firmicutes
1381	Firmicutes
1382	Prevotella
1383	Prevotella
1384	Firmicutes
1385	Prevotella
1386	Firmicutes
1387	Prevotella
1388	Prevotella
1389	Prevotella
1390	Prevotella
1391	Prevotella
1392	Firmicutes
1393	Firmicutes
1394	Firmicutes
1395	Prevotella
1396	Firmicutes
1397	Prevotella
1398	Prevotella
1399	Firmicutes
1400	Firmicutes
1401	Firmicutes
1402	Firmicutes
1403	Firmicutes
1404	Bact_Phoc
1405	Prevotella
1406	Firmicutes
1407	Firmicutes
1408	Firmicutes
1409	Bact_Phoc
1410	Firmicutes
1411	Prevotella
1412	Firmicutes
1413	Bact_Phoc
1414	Firmicutes
1415	Prevotella
1416	Firmicutes
1417	Prevotella
1418	Firmicutes
1419	Firmicutes
1420	Prevotella
1421	Prevotella
1422	Prevotella
1423	Prevotella
1424	Firmicutes
1425	Bact_Phoc
1426	Firmicutes
1427	Bact_Phoc
1428	Prevotella
1429	Prevotella
1430	Firmicutes
1431	Firmicutes
1432	Firmicutes
1433	Prevotella
1434	Firmicutes
1435	Prevotella
1436	Bact_Phoc
1437	Prevotella
1438	Bact_Phoc
1439	Bact_Phoc
1440	Firmicutes
1441	Prevotella
1442	Bact_Phoc
1443	Firmicutes
1444	Prevotella
1445	Prevotella
1446	Firmicutes
1447	Firmicutes
1448	Prevotella
1449	Firmicutes
1450	Firmicutes
1451	Firmicutes
1452	Firmicutes
1453	Prevotella
1454	Firmicutes
1455	Prevotella
1456	Firmicutes
1457	Prevotella
1458	Firmicutes
1459	Firmicutes
1460	Firmicutes
1461	Prevotella
1462	Prevotella
1463	Prevotella
1464	Prevotella
1465	Firmicutes
1466	Prevotella
1467	Firmicutes
1468	Prevotella
1469	Firmicutes
1470	Firmicutes
1471	Firmicutes
1472	Firmicutes
1473	Prevotella
1474	Firmicutes
1475	Prevotella
1476	Firmicutes
1477	Prevotella
1478	Firmicutes
1479	Prevotella
1480	Firmicutes
1481	Prevotella
1482	Firmicutes
1483	Prevotella
1484	Bact_Phoc
1485	Firmicutes
1486	Prevotella
1487	Prevotella
1488	Firmicutes
